variable,value
ef_diesel_kg_l,2.64
ef_petrol_kg_l,2.3
diesel_l_ha_mower,2.81
diesel_l_ha_graindrill,2.81
diesel_l_ha_windrower,4.21
diesel_l_ha_rake,2.34
diesel_l_ha_baler,3.74
diesel_l_ha_harvester_haylage,10.76
